XY
realPoint:(62,206)
critical distance is 144.00
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(31.275071949342305, -157.92585938078219)   distance=365.2205529947061
point:(148.81765422344904, -262.288745626621)   distance=476.26846879193727
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(-96.41241651555833, 173.4450522781715)   distance=161.72296784152127
point:(-60.698631098482906, 79.91697589603098)   distance=175.93147256998571
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(61.42379676692349, -463.6170253865225)   distance=669.6172732969637
point:(-33.73655403173359, -556.9725372466307)   distance=768.9555126081303
point:(48.040230177207036, -332.5483957274371)   distance=538.7292916800621
point:(150.60883965887035, -377.62553514832643)   distance=590.313723153089
point:(-6.491139142008137, 331.5000287517011)   distance=142.9730511587681     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=236.90779721197293
point:(-37.91460996829733, -5.640798995752789)   distance=234.04007580898963
point:(217.26679378190204, -111.6529663115814)   distance=353.56920716863675
point:(217.26679378190204, -111.6529663115814)   distance=353.56920716863675
point:(-113.65751847849015, 296.94821078098903)   distance=197.8058159971145
point:(34.13004036950804, -342.5081148091265)   distance=549.2157013972444
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(222.0691186283592, -111.78721546427812)   distance=355.82416591766116
point:(292.8035423513235, 143.28021202545733)   distance=239.1736753187749
point:(-76.94829885584068, 169.54958059453497)   distance=143.64979230672878     ¡Ì
point:(22.20547111686085, -128.69541898244825)   distance=337.0528564140461
point:(14.1060977827143, -47.59397120122139)   distance=258.0769809556924
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(-76.94829885584068, 169.54958059453497)   distance=143.64979230672878     ¡Ì
point:(-78.87261742293174, -360.2433696796322)   distance=583.5037686645496
point:(-128.00376464124872, 34.82204242408591)   distance=255.74073538978587
point:(182.2583644923776, -562.7989170540889)   distance=778.147703905834
point:(-318.5948606896194, 230.33098972265253)   distance=381.37179371872094
point:(-76.94829885584068, 169.54958059453497)   distance=143.64979230672878     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(192.93623423007512, -29.921467597548713)   distance=269.8207484752319
point:(203.15623036627915, -691.0554296367461)   distance=908.0933460894784
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(-108.78613697257185, -188.78397027343476)   distance=430.1421715745508
point:(-88.42083965573784, -302.63758410982655)   distance=530.4136319626581
point:(-23.660826361464046, -80.65125877428682)   distance=299.1767392860147
point:(127.67146377751965, -83.20429429861099)   distance=296.5667968526478
point:(113.95194893316136, -196.79165923188953)   distance=406.1282134310942
point:(-19.933049767268244, 419.1664740905215)   distance=228.37024832571916
point:(148.54396314359974, 136.83966931537532)   distance=110.7836129443673     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(-108.03297493864545, 257.33103865569245)   distance=177.61218453686735
point:(-40.69951979932898, 5.108600641185831)   distance=225.62035746659768
point:(-47.46144258180834, -4.103538684475211)   distance=236.90779721197293
point:(-76.94829885584068, 169.54958059453497)   distance=143.64979230672878     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(23.521733481607157, -164.16371739932765)   distance=372.1582387549009
point:(5.846649959359752, -187.09739778573623)   distance=397.08785283196966
point:(104.35069109606036, -143.56905332119425)   distance=352.12512559627135
point:(-154.37159876311864, -1.3918193191600494)   distance=299.71325541560407
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(-328.550058408416, 270.23107470805553)   distance=395.7966385417756
point:(-279.7335285107557, -365.44067244726466)   distance=665.827490146955
point:(182.2583644923776, -562.7989170540889)   distance=778.147703905834
point:(48.040230177207036, -332.5483957274371)   distance=538.7292916800621
point:(82.6604436743811, -521.1899424759345)   distance=727.4833787592505
point:(-14.533835542568909, -99.45666001907625)   distance=314.89871249794993
point:(35.4184076090861, -372.21923857774595)   distance=578.8299136322042
point:(-60.698631098482906, 79.91697589603098)   distance=175.93147256998571
point:(-60.64649356940288, -362.60098396374065)   distance=581.6779532949514
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(2196.218100441542, 1290.6481197590379)   distance=2394.023484418881
point:(148.54396314359974, 136.83966931537532)   distance=110.7836129443673     ¡Ì
point:(-318.5948606896194, 230.33098972265253)   distance=381.37179371872094
point:(25.61606980513784, 151.85757463300683)   distance=65.23183732691443     ¡Ì
point:(-73.50202212091176, -387.41664845284276)   distance=608.6904933214095
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(192.93623423007512, -29.921467597548713)   distance=269.8207484752319
point:(-33.73655403173359, -556.9725372466307)   distance=768.9555126081303
point:(-168.57381818958322, -319.504721454967)   distance=573.8636579414882
point:(-3.5178345402601963, -185.99163563644765)   distance=397.4292755343804
point:(-114.0218322150813, 261.86220929426554)   distance=184.6734194289762
point:(60.21473490454332, -348.1200975353711)   distance=554.1229734130053
point:(82.6604436743811, -521.1899424759345)   distance=727.4833787592505
point:(426.76851380439143, -522.857859910712)   distance=815.0397834564197
point:(-158.8587091647954, -313.6976497381652)   distance=564.6806323554158
point:(-3.5178345402601963, -185.99163563644765)   distance=397.4292755343804
point:(-47.46144258180834, -4.103538684475211)   distance=236.90779721197293
point:(68.76892111245945, -532.1651537004636)   distance=738.1961883067778
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(-88.42083965573784, -302.63758410982655)   distance=530.4136319626581
point:(139.41861382841387, 216.90862602664293)   distance=78.18337348120907     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(16.491063667943195, -47.90284087785551)   distance=257.94905677656743
point:(-37.91460996829733, -5.640798995752789)   distance=234.04007580898963
point:(64.89868461694084, -535.8457139975251)   distance=741.8513771295477
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(53.788436585457816, -373.52572128944894)   distance=579.5838950572792
point:(82.6604436743811, -521.1899424759345)   distance=727.4833787592505
point:(82.6604436743811, -521.1899424759345)   distance=727.4833787592505
point:(-32.63731106808336, -576.5867901499616)   distance=788.2882117369365
point:(-85.86460566752669, 207.33920858210013)   distance=147.87067014401313
point:(-42.66438974215009, -556.2042056351174)   distance=769.3567999101309
point:(-56.85184022963085, 82.59944793069201)   distance=171.3285036909495
point:(25.61606980513784, 151.85757463300683)   distance=65.23183732691443     ¡Ì
point:(266.69867872642055, -376.4622593913739)   distance=617.3846715684205
point:(15.441591625453043, 255.9499000617817)   distance=68.28380413065067     ¡Ì
point:(-68.83799943493, 141.57150025483054)   distance=145.8410562069133
point:(-3.5178345402601963, -185.99163563644765)   distance=397.4292755343804
point:(183.0233343703934, -377.96203082699526)   distance=596.3709423753949
point:(291.827308652248, -468.80486295263495)   distance=712.8689885714346
point:(45.23271556479892, 165.1973668071464)   distance=44.11345262843857     ¡Ì
point:(-120.08821099591535, -168.62203971347276)   distance=416.5306582027015
point:(-50.75598923576831, -497.1886937280169)   distance=712.1715046921292
point:(290.6597956404089, -461.6309366838784)   distance=705.7027488678972
point:(150.60883965887035, -377.62553514832643)   distance=590.313723153089
point:(318.4113036842822, -650.409562785997)   distance=893.970970383477
point:(263.03630590879163, -246.03045495771096)   distance=494.7192420987164
point:(-245.41462641426358, -51.34585494389785)   distance=400.91226171099703
point:(40.285661559267396, 182.02291077112147)   distance=32.348312194120425     ¡Ì
